user_id,chebi_id,ratings,SMILES
380,30772,1,CCCC(O)=O
386,30769,1,OC(=O)CC(O)(CC(O)=O)C(O)=O
386,21547,1,CC(=O)N[C@@H](CC(O)=O)C(O)=O
386,28177,1,Cn1c2nc[nH]c2c(=O)n(C)c1=O
386,72961,2,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)\C=C\CCCCCCCCCCCCC
386,72959,2,CCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)\C=C\CCCCCCCCCCCCC
386,77996,2,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO)NC(=O)CCCCCCC\C=C/CCCCCCCC
386,74450,2,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC
386,72968,2,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)\C=C\CCCCCCCCCCCCC
386,72962,2,CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)\C=C\CCCCCCCCCCCCC
386,72966,2,CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)\C=C\CCCCCCCCCCCCC
386,72956,2,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO)NC(=O)CCCCCCCCCCC
1151,15746,1,NCCCNCCCCNCCCN
1151,17151,1,OC[C@H](O)[C@@H](O)[C@H](O)CO
1151,15756,1,CCCCCCCCCCCCCCCC(O)=O
1151,16958,1,NCCC(O)=O
1151,16015,1,N[C@@H](CCC(O)=O)C(O)=O
1848,4208,1,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
1848,15746,1,NCCCNCCCCNCCCN
1848,17754,1,OCC(O)CO
1848,17568,1,O=c1cc[nH]c(=O)[nH]1
1848,17151,1,OC[C@H](O)[C@@H](O)[C@H](O)CO
1848,4167,1,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
1848,15428,1,NCC(O)=O
1848,16467,1,N[C@@H](CCCNC(N)=N)C(O)=O
1848,15971,1,N[C@@H](Cc1c[nH]cn1)C(O)=O
1848,16196,1,CCCCCCCC\C=C/CCCCCCCC(O)=O
1848,29073,1,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
1848,17115,1,N[C@@H](CO)C(O)=O
1848,15756,1,CCCCCCCCCCCCCCCC(O)=O
1848,16828,1,N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O
1848,28061,1,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
1848,17268,1,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O
1848,18095,1,[C@H]1(C[C@@H](O)CN1)C(O)=O
1848,16958,1,NCCC(O)=O
